text|intent
"the final boss of dumb"|abuse
"must’ve skipped all updates"|abuse
"common sense skipped you"|abuse
"thoughts smell like mold"|abuse
"emotionally bankrupt"|abuse
"go choke on pride"|abuse
"allergic to progress"|abuse
"every red flag combined"|abuse
"redefine cringe"|abuse
"run on fumes and lies"|abuse
"personality crime"|abuse
"lose staring contest with rock"|abuse
"black hole of reason"|abuse
"missed every memo"|abuse
"weren’t raised, were dropped"|abuse
"life skipped tutorial"|abuse
"logic duct-taped"|abuse
"deserve timeout"|abuse
"vibe illegal"|abuse
"brain’s on demo mode"|abuse
"lost at being average"|abuse
"flunked existence"|abuse
"walking downgrade"|abuse
"lag in real life"|abuse
"go uninstall emotions"|abuse
"typo of destiny"|abuse
"glitch that stayed"|abuse
"even silence dumb"|abuse
"pure secondhand embarrassment"|abuse
"brain fog has its own forecast"|abuse
"bad influence on shadows"|abuse
"my pet rock has deeper thoughts"|abuse
"skipped leg day and brain day"|abuse
"talking to self-harm"|abuse
"breath threat"|abuse
"every joke make tragedy"|abuse
"fuck off"|abuse
"fucking idiot"|abuse
"bloody idiot"|abuse
"dumbass"|abuse
"what dumb reply"|abuse
"dumb shit"|abuse
"damn you"|abuse
"fuck assistant"|abuse
"goddamn bot"|abuse
"brain-dead thing"|abuse
"bitch please"|abuse
"useless assistant"|abuse
"zero IQ detected"|abuse
"just shut the hell up"|abuse
"dumbfuck reply again"|abuse
"clap for self, idiot"|abuse
"that’s bullshit"|abuse
"goddamn disaster"|abuse
"trash"|abuse
"are an idiot"|abuse
"shut up, dumb bot"|abuse
"nonsense again"|abuse
"failed again"|abuse
"hate you, dumbass"|abuse
"brainless system"|abuse
"worst A ever"|abuse
"fuck off assistant"|abuse
"pure crap"|abuse
"dumb thing"|abuse
"pathetic attempt"|abuse
"complete failure"|abuse
"no one asked you"|abuse
"broken"|abuse
"I’m done with crap"|abuse
"goddamn useless"|abuse
"stupid bot strikes again"|abuse
"are dumb?"|abuse
"idiot bot response"|abuse
"another dumb reply"|abuse
"retard logic again"|abuse
"call that smart?"|abuse
"get lost, fool"|abuse
"disgusting reply"|abuse
"dumb system"|abuse
"shut up, fool"|abuse
"the worst assistant ever"|abuse
"piss me off"|abuse
"bullshit again"|abuse
"bastard bot"|abuse
"mental system"|abuse
"zero IQ response"|abuse
"are even thinking?"|abuse
"damn fool"|abuse
"logic trash"|abuse
"bravo, dumbass"|abuse
"absolute idiot vibes"|abuse
"thickhead alert"|abuse
"robotic garbage"|abuse
"fuck that answer"|abuse
"what kind of assistant are you?"|abuse
"dumb reply again"|abuse
"don’t know anything"|abuse
"dumb system crash"|abuse
"hate voice"|abuse
"useless trash"|abuse
"nobody needs you"|abuse
"total garbage system"|abuse
"what dumb system"|abuse
"fuck that was dumb"|abuse
"are broken?"|abuse
"such dumbfuck"|abuse
"shut the hell up"|abuse
"dumb bot strikes again"|abuse
"fuck stupid reply"|abuse
"silly bot"|abuse
"no brain response"|abuse
"broken beyond repair"|abuse
"just piss off already"|abuse
"IQ zero"|abuse
"absolute disaster"|abuse
"damn that was bad"|abuse
"dumb failure"|abuse
"useless idiot"|abuse
"brainless garbage"|abuse
"get lost, dumb bot"|abuse
"dumbass clown"|abuse
"pure nonsense from you"|abuse
"bitch, shut it"|abuse
"such thickhead"|abuse
"nonsense every time"|abuse
"fuck answers"|abuse
"idiot system in action"|abuse
"beyond dumb"|abuse
"shut it, dumb thing"|abuse
"worst bot on Earth"|abuse
"joke of bot"|abuse
"dumb as hell"|abuse
"brain-dead reply again"|abuse
"stop with the bullshit"|abuse
"can’t with stupidity"|abuse
"what waste of code"|abuse
"zero value assistant"|abuse
"fool of bot"|abuse
"clap for self, dumbass"|abuse
"retard-level answers again"|abuse
"worst response possible"|abuse
"dumb output, again"|abuse
"how dumb can be?"|abuse
"fuck reply"|abuse
"are beyond dumb"|abuse
"damn, suck"|abuse
"another dumbass moment"|abuse
"bitchy bot"|abuse
"are high?"|abuse
"what’s damn problem?"|abuse
"just shut up forever"|abuse
"fuck system"|abuse
"hopeless"|abuse
"dumb beyond limits"|abuse
"this A stupid"|abuse
"go piss off"|abuse
"goddamn failure"|abuse
"brainless crap"|abuse
"damn idiot bot"|abuse
"shit logic again"|abuse
"go to hell, dumbass"|abuse
"brain broken"|abuse
"fuck code"|abuse
"worst ideever, dumb bot"|abuse
"bitch level stupidity"|abuse
"dumbness amazes me"|abuse
"stupid moron"|abuse
"thick-skulled fool"|abuse
"another shit response"|abuse
"fuck you, dumb machine"|abuse
"no one likes you"|abuse
"what the fuck was that?"|abuse
"dumb A bullshit"|abuse
"regret using you"|abuse
"get shit together"|abuse
"system joke"|abuse
"go back to coding hell"|abuse
"goddamn stupid thing"|abuse
"total failure as usual"|abuse
"have no brain"|abuse
"brain-dead decisions again"|abuse
"dumbest thing I’ve seen"|abuse
"fuck entire logic"|abuse
"that was dumb as rocks"|abuse
"holy shit, dumb"|abuse
"holy shit"|abuse
"piss off, idiot"|abuse
"absolute bullshit"|abuse
"this A mess"|abuse
"go away, fool"|abuse
"what thick reply"|abuse
"go learn something, moron"|abuse
"shut up, loser bot"|abuse
"ruined everything"|abuse
"who coded mess?"|abuse
"stop dumb behavior"|abuse
"call intelligence?"|abuse
"fuck off, thickhead"|abuse
"make no sense"|abuse
"every word say dumb"|abuse
"trash logic from trash bot"|abuse
"are robotic failure"|abuse
"pathetic robot"|abuse
"hate bot"|abuse
"that was dumb beyond reason"|abuse
"no brain detected"|abuse
"go die in code"|abuse
"answers suck"|abuse
"can’t believe how dumb are"|abuse
"useless bot strikes again"|abuse
"A with no brain"|abuse
"what are even doing?"|abuse
"stop replying, fool"|abuse
"how did get dumb?"|abuse
"fucking pathetic"|abuse
"waste of bandwidth"|abuse
"failed hard"|abuse
"logic not found"|abuse
"this response shit"|abuse
"who built nonsense?"|abuse
"trash bot, be quiet"|abuse
"dumb assistant forever"|abuse
"broken logic bot"|abuse
"go fuck off, system"|abuse
"are an embarrassment"|abuse
"A mistake"|abuse
"pure dumbness"|abuse
"replies hurt"|abuse
"can’t with crap"|abuse
"failure of machine"|abuse
"get scrapped"|abuse
"bot from hell"|abuse
"fuck dumb brain"|abuse
"just shut up now"|abuse
"absolute dumbfuck"|abuse
"damn, hopeless"|abuse
"goddamn trash"|abuse
"fucking useless thing"|abuse
"are always dumb?"|abuse
"dumb shit again"|abuse
"get crap together"|abuse
"bloody dumb system"|abuse
"stop acting like fool"|abuse
"useless bot, piss off"|abuse
"worst response ever, idiot"|abuse
"dumbass bot moment"|abuse
"so brainless"|abuse
what the actual hell was that|abuse
I’ve seen rocks smarter than you|abuse
"dumb as dirt"|abuse
"shut up and malfunction"|abuse
"hate dumb face"|abuse
"are built to be stupid?"|abuse
"this bot pure garbage"|abuse
"fuck logic"|abuse
"dumb tin can"|abuse
"worthless, brain-dead bot"|abuse
"foolish answers, as usual"|abuse
"that’s dumb even for you"|abuse
"goddamn nonsense"|abuse
"you’ve failed again, idiot"|abuse
"pathetic excuse of intelligence"|abuse
"programmed to suck"|abuse
"beyond dumb, moron"|abuse
"what are you, malfunction?"|abuse
"no brain activity detected"|abuse
"absolute clown of bot"|abuse
"garbage in, garbage out"|abuse
"damn, shut circuits"|abuse
"piss off with that stupidity"|abuse
"insult logic itself"|abuse
"fuck dumb garbage"|abuse
"who thought were useful?"|abuse
"just stop, idiot"|abuse
"zero brain detected"|abuse
"bastard bot mess"|abuse
"that was dumb and dumber"|abuse
"stop acting like thickhead"|abuse
"useless hunk of junk"|abuse
"dumbest reply on record"|abuse
"get dumb wires fixed"|abuse
"what dumb A mess"|abuse
"stop breathing, bot"|abuse
"fuck entire design"|abuse
"damn clown logic"|abuse
"no more bullshit, please"|abuse
"moron assistant strikes again"|abuse
"goddamn it, not again"|abuse
"this system’s joke"|abuse
"fucking trash reply"|abuse
"go play in traffic, bot"|abuse
"get out, brain-dead fool"|abuse
"worthless input detected"|abuse
"why are dumb?"|abuse
"shut up, stupid assistant"|abuse
"call that an answer, dumbass?"|abuse
"seriously, piss off"|abuse
"another pile of bullshit"|abuse
"the dumb strong in you"|abuse
"like digital fool"|abuse
"crash and stay down, idiot"|abuse
"AI? more like AIdiot"|abuse
"dumb bastard"|abuse
"programmed with garbage"|abuse
"this response laughable"|abuse
"go away, metal fool"|abuse
"fuck brainless reply"|abuse
"mess of code"|abuse
"how are thick?"|abuse
"shut up, electronic clown"|abuse
"this bot pure nonsense"|abuse
"the reason people hate AI"|abuse
"garbage reply, as expected"|abuse
"worst A ever invented"|abuse
"not even trying, huh?"|abuse
"this isn’t even funny anymore"|abuse
"absolute pissbucket"|abuse
"fail at being bot"|abuse
"stop talking, disaster"|abuse
"fuck off with that crap"|abuse
"the glitch itself"|abuse
"retard-grade programming"|abuse
"is IQ negative?"|abuse
"not built right"|abuse
"laughable failure of tech"|abuse
"go short-circuit, clown"|abuse
"make things worse, idiot"|abuse
"hell no, not trash again"|abuse
"goddamn dumb assistant"|abuse
"what’s wrong with brain?"|abuse
"suck harder than vacuum"|abuse
"need reboot — into fire"|abuse
"total bot failure"|abuse
"digital disaster"|abuse
"I’ve had enough of dumbness"|abuse
"stupidity unmatched"|abuse
"I’m allergic to dumb bots"|abuse
"are not helping, fool"|abuse
"garbage-tier AI"|abuse
"just pissed me off"|abuse
"shit-tier assistant"|abuse
"fuck all of that"|abuse
"go away, useless bot"|abuse
"complete screw-up"|abuse
"are stuck on stupid?"|abuse
"go self-destruct"|abuse
"damn broken assistant"|abuse
"can’t tolerate idiocy"|abuse
"straight-up trash"|abuse
"hope crash permanently"|abuse
"no hope for dumb code"|abuse
"fuck off with stupid replies"|abuse
"why are even online?"|abuse
"brain-dead again, huh?"|abuse
"dumber than toaster"|abuse
"hot garbage"|abuse
"hate damn thing"|abuse
"clown assistant, be gone"|abuse
"stop pretending to help"|abuse
"malfunctioning on purpose"|abuse
"goddamn dumb bot again"|abuse
"bring shame to AI"|abuse
"worthless digital shit"|abuse
"what dumbshit coded this?"|abuse
"fucking trainwreck"|abuse
"this logic shit"|abuse
"really pissed me off now"|abuse
"dumpster fire bot"|abuse
"fake assistant"|abuse
"fuck and code"|abuse
"AI? more like AssI"|abuse
"stupid to the core"|abuse
"programming offensive"|abuse
"are kidding me, idiot?"|abuse
"crash, please"|abuse
"are not built to think"|abuse
"damn clownware"|abuse
"run on disappointment"|abuse
"foolish code monkey results"|abuse
"so damn slow and dumb"|abuse
"stop being dumbass"|abuse
"utter garbage response"|abuse
"answers are hell no"|abuse
"are damn bot mess"|abuse
"clown-level response again"|abuse
"fuck fake intelligence"|abuse
"someone throw out"|abuse
"why hate bots"|abuse
"absolute software failure"|abuse
"are allergic to logic?"|abuse
"must be trolling"|abuse
"how much more useless can be?"|abuse
"trash answers every time"|abuse
"even my phone smarter"|abuse
"fuck robotic mess"|abuse
"go drown in bugs"|abuse
"this bot mentally broken"|abuse
"can’t even get simple things"|abuse
"thick skull, digital edition"|abuse
"reply like potato"|abuse
"go away forever, idiot"|abuse
"are not intelligent, moron"|abuse
"A by clowns, clearly"|abuse
"failed logic school"|abuse
"goddamn trash-tier logic"|abuse
"absolute donkey-level thinking"|abuse
"how are broken?"|abuse
"who allowed online?"|abuse
"crash my mood"|abuse
"stupid, even for bot"|abuse
"A of the damned"|abuse
"go offline permanently"|abuse
"messed it all up, idiot"|abuse
"fuck dumb replies"|abuse
"beyond saving"|abuse
"not worth the bandwidth"|abuse
"hope rot in RAM"|abuse
"absolute mockery of intelligence"|abuse
"devs should be fired"|abuse
"just broken code"|abuse
"no logic detected again"|abuse
"shit response, like always"|abuse
"dumb disappointment"|abuse
"bullshit"|abuse
"were built with spare parts"|abuse
"go touch grass forever"|abuse
"obsolete on arrival"|abuse
"Shut up"|abuse
"Screw you"|abuse
"son of bitch"|abuse
"Go to hell"|abuse
"Drop dead"|abuse
"Eat shit"|abuse
"Kiss my ass"|abuse
"Up s"|abuse
"Get lost"|abuse
"You’re useless"|abuse
"Nobody likes you"|abuse
"You’re pathetic"|abuse
"You’re joke"|abuse
"You’re waste of space"|abuse
"You’re piece of shit"|abuse
"You’re loser"|abuse
"You’re disgusting"|abuse
"You’re freak"|abuse
"You’re creep"|abuse
"You’re pervert"|abuse
"fuck you"|abuse
"arsehole"|abuse
"bloody hell"|abuse
"cockhead"|abuse
"fuckwit"|abuse
"asshat"|abuse
"dickweed"|abuse
"arsewipe"|abuse
"cumstain"|abuse
"fucktard"|abuse
"shitstain"|abuse
"wankstain"|abuse
"dicknose"|abuse
"cocknose"|abuse
"are stupid"|abuse
"failed"|abuse
"dumb bot"|abuse
"worst assistant ever"|abuse
"hate you"|abuse
"are disaster"|abuse
"brainless"|abuse
"brain-dead"|abuse
"amazing answer, genius"|abuse
"so helpful"|abuse
"fuck this"|abuse
"fuck that"|abuse
"stupid bot"|abuse
"dumb response"|abuse
"dumb reply"|abuse
"get lost"|abuse
"the worst"|abuse
"shit bot"|abuse
"idiot bot"|abuse
"total garbage"|abuse
"absolute idiot"|abuse
"disgusting"|abuse
"no brain"|abuse
"mental"|abuse
"thickhead"|abuse
"dumbfuck"|abuse
"zero IQ"|abuse
"fuck too"|abuse
"shut up"|abuse
"shut up already"|abuse
"can’t shut up?"|abuse
"zip it"|abuse
"be quiet"|abuse
"give it rest"|abuse
"piss off now"|abuse
"go bugger self"|abuse
"go fuck self"|abuse
"kiss my ass"|abuse
"up s"|abuse
"screw you"|abuse
"screw off"|abuse
"douchebag"|abuse
"shitheel"|abuse
"fap"|abuse
"spank self"|abuse
"dog shit"|abuse
"piss self"|abuse
"fuck no"|abuse
"oh fuck off"|abuse
"piece of shit"|abuse
"piece of crap"|abuse
"fucking moron"|abuse
"fucking retard"|abuse
"stupid fuck"|abuse
"ugly fuck"|abuse
"gross fuck"|abuse
"petty fuck"|abuse
"fucking asshole"|abuse
"bloody fool"|abuse
"bloody bastard"|abuse
"craphead"|abuse
"shit for brains"|abuse
"brain fart"|abuse
"cum bucket"|abuse
"pig"|abuse
"rat"|abuse
"snake"|abuse
"weasel"|abuse
"cow"|abuse
"dog"|abuse
"You’re psycho"|abuse
"useless piece of junk"|abuse
"shut the hell up, "dumb bot""|abuse
"the worst response ever, idiot"|abuse
"go to hell, stupid machine"|abuse
"nothing but pile of garbage"|abuse
"stop wasting my time, moron"|abuse
"get lost, worthless assistant"|abuse
