text|intent
Can you close the top drawer of the dresser|system
Close the medicine cabinet|system
Shut the storm shutters|system
Please close the fuse box|system
Close the access panel|system
Turn off the porch light|system
Could you close the car sunroof|system
Shut down the projector|system
Close the back gate|system
Please close the display case|system
Close the attic access panel|system
Can you close the car’s glove compartment|system
Shut the server rack door|system
Deactivate the electric fence|system
Close the garden shed door|system
Please close the safe|system
Close the locker door|system
Can you close the utility closet|system
Shut the storage container|system
Please close the detached garage door|system
Close the basement cellar door|system
Could you close the window in the study|system
Shut off the light in the hallway|system
Please close the lid of the cooler|system
Close the main water shut-off valve|system
Can you close the attic fan|system
Shut the screen door|system
Please close the back gate properly|system
Deactivate the smart plug|system
Please close the outdoor faucet|system
Close the safe deposit box|system
Can you close the passenger-side window|system
Shut the back door securely|system
Please close the dishwasher door|system
Close the fireplace damper|system
Can you close the bathroom fan|system
Shut down the home security system|system
Please close the laundry room door|system
Close the wine cellar door|system
Could you close the freezer door tightly|system
Shut the detached garage door|system
Please close the mailbox flap|system
Close the fuse box cover|system
Can you close the cabinet under the sink|system
Shut off the main gas line|system
Please close the roof hatch|system
Close the server cabinet|system
Could you close the attic pull-down stairs|system
Close the side gate|system
Shut off the upstairs fan|system
Can you close the passenger door|system
Please close the pantry door|system
Deactivate the car alarm|system
Close the spreadsheet program|system
Terminate the video game|system
Would you mind closing the pop-up notification|system
Close the chimney flue|system
Shut the back window|system
Turn off the basement light|system
Please close the outdoor spigot|system
Close the filing cabinet drawer|system
Can you shut the balcony door|system
End the virtual meeting|system
Close the main circuit|system
Shut down the desktop application|system
Please close the bird cage door|system
Close the fuse panel|system
Deactivate the security camera|system
Shut the medicine drawer|system
Close the laptop screen|system
Can you close the tent zipper|system
Please close the attic fan|system
Close out the shopping cart|system
Shut off the garage light|system
Close the server rack|system
Please close the garden hose nozzle|system
Close the top cupboard|system
Can you shut the dog kennel|system
Close that darn thing|system
Could you please close whatever's open?|system
Shut down everything running|system
I need to close this before I leave|system
Finish up that program|system
Close the active item|system
Turn off the screen you're on|system
Close the open window|system
Make that go dark|system
End the current display|system
Close whatever is currently playing|system
Deactivate the visual output|system
Shut off the main power to that|system
Please close down the session|system
I'm done with this, close it|system
Close the user interface|system
Can you terminate what's showing?|system
Close the thing on the wall|system
Shut that off, please|system
Close the active application|system
Pause the stream|system
Play the stream|system
Could you pause this TikTok?|system
Resume the YouTube video|system
Stop the Netflix show|system
Start the Hulu series|system
Pause what's playing|system
Play that again|system
Can you pause this episode?|system
Would you mind unpausing the movie?|system
I need you to pause my playlist|system
Get this podcast playing|system
Freeze the video feed|system
Let's get this documentary started|system
Put the playback on hold|system
Continue the playback|system
Stop the Amazon Prime video|system
Begin the Disney film|system
Hold the current show|system
Start the next episode|system
Pause the video|system
Play the video|system
Please pause the video|system
Could you play the video?|system
Stop the video, please|system
Resume the video|system
Pause it|system
Play it|system
Can you pause this video?|system
Would you play this video?|system
I need you to pause the video|system
I want to play the video|system
Go ahead and pause the video|system
Start the video up|system
Put the video on hold|system
Get the video going|system
Can you stop the current video?|system
Let's get this video playing|system
Hold the video|system
Begin the video|system
Turn off the main light|system
Close that thing over there|system
Exit the application|system
Shut down that program, please|system
Can you close the display|system
Kill the process|system
Switch off the screen|system
Close out the current view|system
End this running task|system
Close the stuff on the desktop|system
Turn off the device|system
Shut the entire system down|system
Get rid of that window|system
I want to close this|system
Close what's open|system
Power down the computer|system
Close it|system
Turn that off|system
Make this go away|system
Stop that from running|system
Hey Nisha, close living room AC now|system
Yo, close the front door for me|system
Can you, like, shut down the TV?|system
Hey Google, close the blinds please|system
Nisha, go ahead and close that window|system
Uh, close the garage door, will ya?|system
So, close the app, please|system
Alright, close the lights in the kitchen|system
Could you just close that browser tab?|system
Yo, shut the back gate|system
Hey, close the curtains, okay?|system
Nisha, can you close the pop-up?|system
Uh, close the laptop lid|system
Like, close the refrigerator door|system
Alright, just close that file|system
Hey Google, close the bathroom fan|system
So, shut off the porch light|system
Nisha, close the program, please|system
Can you, like, close the car window?|system
Yo, close the oven door|system
Hey, shut down the system|system
Uh, close the settings menu|system
Alright, close the account details|system
Could you just close the game?|system
Yo, shut the closet door|system
Nisha, go on and close the privacy screen|system
Hey Google, close the attic stairs|system
So, close the external hard drive|system
Uh, close the dog door|system
Like, shut off the bedroom lamp|system
Alright, close the user interface|system
Could you just close that thing on the screen?|system
Yo, close the storm shutters|system
Nisha, terminate the video call|system
Hey, close the cabinet|system
Uh, shut the garden shed door|system
So, close the pool cover|system
Alright, close the access panel|system
Can you, like, close the utility closet?|system
Yo, shut off the main water valve|system
Nisha, close the safe deposit box|system
Hey Google, close the top drawer|system
Uh, close the detached garage door|system
Like, shut down the server|system
Alright, close the shed|system
Could you just close the trunk lid?|system
Yo, close the fireplace damper|system
Nisha, close the server rack|system
Hey, shut off the outdoor faucet|system
Uh, close the laundry room door|system
So, close the freezer|system
Alright, just close the wine cellar|system
Can you, like, shut the main gate?|system
Nisha, close the bird cage|system
Close the front door|system
Shut the garage door|system
Can you close the living room window|system
Please shut the car window|system
Turn off the kitchen light|system
Deactivate the bedroom fan|system
Close the blinds in the study|system
Shut the curtains in the dining room|system
Seal the back gate|system
Close the refrigerator door|system
Turn off the air conditioning unit|system
Shut the main gate|system
Please close the oven door|system
Could you shut the trunk|system
Close the cupboard|system
Turn off the porch light|system
Shut the car's sunroof|system
Close the attic door|system
Secure the safe door|system
Close the shed door|system
Close out this application|system
Shut down the browser|system
Terminate the current tab|system
Exit the program|system
Close the pop-up ad|system
Dismiss the notification|system
Close the chatbox|system
End the game|system
Close the file you just opened|system
Shut down the system|system
Close the modal window|system
Deactivate the background app|system
Close the YouTube video|system
End the current session|system
Close the email client|system
Shut down the virtual machine|system
Close all open tabs|system
Exit the document without saving|system
Close the privacy warning|system
Terminate the streaming service|system
Would you mind closing that for me|system
Can you please shut the door|system
I need you to close the window, please|system
Hey, close the lights!|system
Could you turn off that thing|system
Yo, shut that junk off!|system
Please close the door to the balcony before it rains|system
Close it up!|system
I'm just going to close this now|system
Time to shut down everything|system
Do you mind closing the lid|system
Close light|system
Shut the door, will ya?|system
Could I get you to close the gate?|system
I need to close this tab quickly|system
Close that!|system
Would you be able to close the curtain?|system
I'll just close the program for now|system
Mind closing the window?|system
It's time to power down the system|system
Deactivate the device|system
Kindly close the application|system
Please terminate the process|system
Close the window, would you?|system
Shut it off!|system
Go ahead and close that|system
Close up shop!|system
I'm going to close the garage now|system
Could you just close this screen?|system
Let's shut down for the night|system
