utterance                                                                   , intent        , tokens                                                                                                                                                                 , token_ids
Can you get this off my screen?                                             , close         , "['can', 'Ġyou', 'Ġget', 'Ġthis', 'Ġoff', 'Ġmy', 'Ġscreen', 'Ġ?']"                                                                                                     , "[383, 314, 751, 346, 571, 345, 715, 292]"
"I’m done here, close it up"                                                , close         , "['i', 'Ġbe', 'Ġdo', 'Ġhere', 'Ġ,', 'Ġclose', 'Ġit', 'Ġup']"                                                                                                           , "[77, 297, 359, 1507, 399, 685, 377, 325]"
"Kill the player, I’ve had enough noise"                                    , close         , "['kill', 'Ġthe', 'Ġplayer', 'Ġ,', 'Ġi', 'Ġhave', 'Ġhave', 'Ġenough', 'Ġnoise']"                                                                                       , "[1006, 269, 1411, 399, 323, 782, 782, 2756, 2753]"
Cut off that overlay panel                                                  , close         , "['cut', 'Ġoff', 'Ġthat', 'Ġoverlay', 'Ġpanel']"                                                                                                                       , "[1436, 571, 393, 2339, 1160]"
"Close the extras, I only need the main app"                                , close         , "['close', 'Ġthe', 'Ġextra', 's', 'Ġ,', 'Ġi', 'Ġonly', 'Ġneed', 'Ġthe', 'Ġmain', 'Ġapp']"                                                                              , "[389, 269, 3904, 87, 399, 323, 2688, 801, 269, 2439, 407]"
Drop the video window now                                                   , close         , "['drop', 'Ġthe', 'Ġvideo', 'Ġwindow', 'Ġnow']"                                                                                                                        , "[720, 269, 813, 577, 490]"
Exit this and go back                                                       , close         , "['exit', 'Ġthis', 'Ġand', 'Ġgo', 'Ġback']"                                                                                                                            , "[774, 346, 431, 763, 660]"
Take this tab down                                                          , close         , "['take', 'Ġthis', 'Ġtab', 'Ġdown']"                                                                                                                                   , "[2276, 346, 956, 612]"
Get rid of that alert box                                                   , close         , "['get', 'Ġrid', 'Ġof', 'Ġthat', 'Ġalert', 'Ġbox']"                                                                                                                    , "[432, 2543, 310, 393, 1045, 2768]"
"Yo Nisha, shut the player down"                                            , close         , "['yo', 'Ġnisha', 'Ġ,', 'Ġshut', 'Ġthe', 'Ġplayer', 'Ġdown']"                                                                                                          , "[878, 1060, 399, 743, 269, 1411, 612]"
Collapse that window real quick                                             , close         , "['collapse', 'Ġthat', 'Ġwindow', 'Ġreal', 'Ġquick']"                                                                                                                  , "[4926, 393, 577, 742, 1375]"
Put that thing to sleep                                                     , close         , "['put', 'Ġthat', 'Ġthing', 'Ġto', 'Ġsleep']"                                                                                                                          , "[635, 393, 868, 282, 1010]"
Close out of the notes app                                                  , close         , "['close', 'Ġout', 'Ġof', 'Ġthe', 'Ġnotes', 'Ġapp']"                                                                                                                   , "[389, 458, 310, 269, 2711, 407]"
"Scrap this window, I don't need it"                                        , close         , "['scrap', 'Ġthis', 'Ġwindow', 'Ġ,', 'Ġi', 'Ġdo', 'Ġnot', 'Ġneed', 'Ġit']"                                                                                             , "[3026, 346, 577, 399, 323, 359, 427, 801, 377]"
Kill that background process UI                                             , close         , "['kill', 'Ġthat', 'Ġbackground', 'Ġprocess', 'Ġui']"                                                                                                                  , "[1006, 393, 1283, 1275, 2681]"
Boot that task outta here                                                   , close         , "['boot', 'Ġthat', 'Ġtask', 'Ġoutta', 'Ġhere']"                                                                                                                        , "[767, 393, 1225, 2716, 1507]"
X out that screen                                                           , close         , "['x', 'Ġout', 'Ġthat', 'Ġscreen']"                                                                                                                                    , "[92, 458, 393, 715]"
Tap out of this one                                                         , close         , "['tap', 'Ġout', 'Ġof', 'Ġthis', 'Ġone']"                                                                                                                              , "[2889, 458, 310, 346, 995]"
Just close that junk in the corner                                          , close         , "['just', 'Ġclose', 'Ġthat', 'Ġjunk', 'Ġin', 'Ġthe', 'Ġcor', 'ner']"                                                                                                   , "[1475, 685, 393, 3003, 311, 269, 2915, 2418]"
Nuke the music overlay                                                      , close         , "['nuke', 'Ġthe', 'Ġmusic', 'Ġoverlay']"                                                                                                                               , "[2843, 269, 493, 2339]"
"Let’s close this out, yeah?"                                               , close         , "['let', 'Ġus', 'Ġclose', 'Ġthis', 'Ġout', 'Ġ,', 'Ġy', 'e', 'ah', 'Ġ?']"                                                                                               , "[580, 535, 685, 346, 458, 399, 303, 73, 2407, 292]"
Wipe off the floating menu                                                  , close         , "['wipe', 'Ġoff', 'Ġthe', 'Ġfloat', 'Ġmenu']"                                                                                                                          , "[2428, 571, 269, 1023, 2400]"
Can you tap the X on that thing?                                            , close         , "['can', 'Ġyou', 'Ġtap', 'Ġthe', 'Ġx', 'Ġon', 'Ġthat', 'Ġthing', 'Ġ?']"                                                                                                , "[383, 314, 3689, 269, 3682, 322, 393, 868, 292]"
End that window session                                                     , close         , "['end', 'Ġthat', 'Ġwindow', 'Ġsession']"                                                                                                                              , "[421, 393, 577, 588]"
Dismiss that full-screen mode                                               , close         , "['dismiss', 'Ġthat', 'Ġfull', 'Ġ-', 'Ġscreen', 'Ġmode']"                                                                                                              , "[2742, 393, 1325, 344, 715, 634]"
"Yo, exit this nonsense"                                                    , close         , "['yo', 'Ġ,', 'Ġexit', 'Ġthis', 'Ġn', 'ons', 'ense']"                                                                                                                  , "[878, 399, 1847, 346, 304, 1091, 1820]"
"Trash this view, open's enough"                                            , close         , "['trash', 'Ġthis', 'Ġview', 'Ġ,', 'Ġopen', ""Ġ'"", 's', 'Ġenough']"                                                                                                   , "[3960, 346, 1043, 399, 1216, 532, 87, 2756]"
"Minimize it? Nah, close it down"                                           , close         , "['min', 'imize', 'Ġit', 'Ġ?', 'Ġnah', 'Ġ,', 'Ġclose', 'Ġit', 'Ġdown']"                                                                                                , "[925, 2335, 377, 292, 3300, 399, 685, 377, 612]"
Shut the current window down                                                , close         , "['shut', 'Ġthe', 'Ġcurrent', 'Ġwindow', 'Ġdown']"                                                                                                                     , "[598, 269, 717, 577, 612]"
"Clip the tab, I’ve seen enough"                                            , close         , "['clip', 'Ġthe', 'Ġtab', 'Ġ,', 'Ġi', 'Ġhave', 'Ġsee', 'Ġenough']"                                                                                                     , "[2612, 269, 956, 399, 323, 782, 1444, 2756]"
"Close this app, it's laggy"                                                , close         , "['close', 'Ġthis', 'Ġapp', 'Ġ,', 'Ġit', 'Ġbe', 'Ġl', 'ag', 'gy']"                                                                                                     , "[389, 346, 407, 399, 377, 297, 293, 536, 1108]"
Cancel this overlay screen                                                  , close         , "['cancel', 'Ġthis', 'Ġoverlay', 'Ġscreen']"                                                                                                                           , "[2989, 346, 2339, 715]"
"I’m over this window, just close it"                                       , close         , "['i', 'Ġbe', 'Ġover', 'Ġthis', 'Ġwindow', 'Ġ,', 'Ġjust', 'Ġclose', 'Ġit']"                                                                                            , "[77, 297, 695, 346, 577, 399, 920, 685, 377]"
"Trash this app, I’m switching"                                             , close         , "['trash', 'Ġthis', 'Ġapp', 'Ġ,', 'Ġi', 'Ġbe', 'Ġswitch']"                                                                                                             , "[3960, 346, 407, 399, 323, 297, 2150]"
Swipe away that preview                                                     , close         , "['s', 'wipe', 'Ġaway', 'Ġthat', 'Ġpreview']"                                                                                                                          , "[87, 2428, 1809, 393, 3427]"
Exit fullscreen and shut it down                                            , close         , "['exit', 'Ġfull', 'screen', 'Ġand', 'Ġshut', 'Ġit', 'Ġdown']"                                                                                                         , "[774, 1325, 2888, 431, 743, 377, 612]"
Get me outta this popout                                                    , close         , "['get', 'Ġme', 'Ġoutta', 'Ġthis', 'Ġpop', 'out']"                                                                                                                     , "[432, 283, 2716, 346, 661, 335]"
Just end this app view already                                              , close         , "['just', 'Ġend', 'Ġthis', 'Ġapp', 'Ġview', 'Ġalready']"                                                                                                               , "[1475, 1355, 346, 407, 1043, 2728]"
Boot the widget off the screen                                              , close         , "['boot', 'Ġthe', 'Ġwidget', 'Ġoff', 'Ġthe', 'Ġscreen']"                                                                                                               , "[767, 269, 2402, 571, 269, 715]"
Wrap up this chat box                                                       , close         , "['wrap', 'Ġup', 'Ġthis', 'Ġchat', 'Ġbox']"                                                                                                                            , "[1112, 325, 346, 1209, 2768]"
"X this one, I’m out"                                                       , close         , "['x', 'Ġthis', 'Ġone', 'Ġ,', 'Ġi', 'Ġbe', 'Ġout']"                                                                                                                    , "[92, 346, 995, 399, 323, 297, 458]"
cut the signal                                                              , close         , "['cut', 'Ġthe', 'Ġsignal']"                                                                                                                                           , "[1436, 269, 2794]"
end this session                                                            , close         , "['end', 'Ġthis', 'Ġsession']"                                                                                                                                         , "[421, 346, 588]"
call it a day                                                               , close         , "['call', 'Ġit', 'Ġa', 'Ġday']"                                                                                                                                        , "[2263, 377, 262, 872]"
clocking out now                                                            , close         , "['clock', 'Ġout', 'Ġnow']"                                                                                                                                            , "[2611, 458, 490]"
close the Photos app                                                        , close         , "['close', 'Ġthe', 'Ġphotos', 'Ġapp']"                                                                                                                                 , "[389, 269, 2232, 407]"
please close the window                                                     , close         , "['please', 'Ġclose', 'Ġthe', 'Ġwindow']"                                                                                                                              , "[504, 685, 269, 577]"
shut the app                                                                , close         , "['shut', 'Ġthe', 'Ġapp']"                                                                                                                                             , "[598, 269, 407]"
exit the program                                                            , close         , "['exit', 'Ġthe', 'Ġprogram']"                                                                                                                                         , "[774, 269, 1004]"
terminate the application                                                   , close         , "['terminate', 'Ġthe', 'Ġapplication']"                                                                                                                                , "[1245, 269, 1210]"
close this tab                                                              , close         , "['close', 'Ġthis', 'Ġtab']"                                                                                                                                           , "[389, 346, 956]"
end the session                                                             , close         , "['end', 'Ġthe', 'Ġsession']"                                                                                                                                          , "[421, 269, 588]"
log me out                                                                  , close         , "['log', 'Ġme', 'Ġout']"                                                                                                                                               , "[558, 283, 458]"
quit the software                                                           , close         , "['quit', 'Ġthe', 'Ġsoftware']"                                                                                                                                        , "[2710, 269, 1383]"
stop the process                                                            , close         , "['stop', 'Ġthe', 'Ġprocess']"                                                                                                                                         , "[1094, 269, 1275]"
close the browser                                                           , close         , "['close', 'Ġthe', 'Ġbrowser']"                                                                                                                                        , "[389, 269, 1716]"
turn off the application                                                    , close         , "['turnoff', 'Ġthe', 'Ġapplication']"                                                                                                                                  , "[1282, 269, 1210]"
close the document                                                          , close         , "['close', 'Ġthe', 'Ġdocument']"                                                                                                                                       , "[389, 269, 815]"
shut down the system                                                        , close         , "['shutdown', 'Ġthe', 'Ġsystem']"                                                                                                                                      , "[1019, 269, 410]"
close the file                                                              , close         , "['close', 'Ġthe', 'Ġfile']"                                                                                                                                           , "[389, 269, 1763]"
exit the browser                                                            , close         , "['exit', 'Ġthe', 'Ġbrowser']"                                                                                                                                         , "[774, 269, 1716]"
close the page                                                              , close         , "['close', 'Ġthe', 'Ġpage']"                                                                                                                                           , "[389, 269, 1361]"
terminate the session                                                       , close         , "['terminate', 'Ġthe', 'Ġsession']"                                                                                                                                    , "[1245, 269, 588]"
close the chat                                                              , close         , "['close', 'Ġthe', 'Ġchat']"                                                                                                                                           , "[389, 269, 1209]"
log out                                                                     , close         , ['logout']                                                                                                                                                             , [2733]
close the game                                                              , close         , "['close', 'Ġthe', 'Ġgame']"                                                                                                                                           , "[389, 269, 1027]"
end the call                                                                , close         , "['end', 'Ġthe', 'Ġcall']"                                                                                                                                             , "[421, 269, 563]"
close the video                                                             , close         , "['close', 'Ġthe', 'Ġvideo']"                                                                                                                                          , "[389, 269, 813]"
stop the music                                                              , close         , "['stop', 'Ġthe', 'Ġmusic']"                                                                                                                                           , "[1094, 269, 493]"
close the window now                                                        , close         , "['close', 'Ġthe', 'Ġwindow', 'Ġnow']"                                                                                                                                 , "[389, 269, 577, 490]"
exit the app                                                                , close         , "['exit', 'Ġthe', 'Ġapp']"                                                                                                                                             , "[774, 269, 407]"
close the application                                                       , close         , "['close', 'Ġthe', 'Ġapplication']"                                                                                                                                    , "[389, 269, 1210]"
shut the program                                                            , close         , "['shut', 'Ġthe', 'Ġprogram']"                                                                                                                                         , "[598, 269, 1004]"
terminate the app                                                           , close         , "['terminate', 'Ġthe', 'Ġapp']"                                                                                                                                        , "[1245, 269, 407]"
close the tab                                                               , close         , "['close', 'Ġthe', 'Ġtab']"                                                                                                                                            , "[389, 269, 956]"
end the program                                                             , close         , "['end', 'Ġthe', 'Ġprogram']"                                                                                                                                          , "[421, 269, 1004]"
log off                                                                     , close         , ['logoff']                                                                                                                                                             , [3021]
close the screen                                                            , close         , "['close', 'Ġthe', 'Ġscreen']"                                                                                                                                         , "[389, 269, 715]"
stop the application                                                        , close         , "['stop', 'Ġthe', 'Ġapplication']"                                                                                                                                     , "[1094, 269, 1210]"
close the interface                                                         , close         , "['close', 'Ġthe', 'Ġinterface']"                                                                                                                                      , "[389, 269, 1132]"
exit the session                                                            , close         , "['exit', 'Ġthe', 'Ġsession']"                                                                                                                                         , "[774, 269, 588]"
close the software                                                          , close         , "['close', 'Ġthe', 'Ġsoftware']"                                                                                                                                       , "[389, 269, 1383]"
shut the window                                                             , close         , "['shut', 'Ġthe', 'Ġwindow']"                                                                                                                                          , "[598, 269, 577]"
close the system                                                            , close         , "['close', 'Ġthe', 'Ġsystem']"                                                                                                                                         , "[389, 269, 410]"
terminate the process                                                       , close         , "['terminate', 'Ġthe', 'Ġprocess']"                                                                                                                                    , "[1245, 269, 1275]"
close the platform                                                          , close         , "['close', 'Ġthe', 'Ġplatform']"                                                                                                                                       , "[389, 269, 1965]"
exit the platform                                                           , close         , "['exit', 'Ġthe', 'Ġplatform']"                                                                                                                                        , "[774, 269, 1965]"
close the dashboard                                                         , close         , "['close', 'Ġthe', 'Ġdashboard']"                                                                                                                                      , "[389, 269, 1792]"
shut the dashboard                                                          , close         , "['shut', 'Ġthe', 'Ġdashboard']"                                                                                                                                       , "[598, 269, 1792]"
close the control panel                                                     , close         , "['close', 'Ġthe', 'Ġcontrol', 'Ġpanel']"                                                                                                                              , "[389, 269, 1699, 1160]"
exit the control panel                                                      , close         , "['exit', 'Ġthe', 'Ġcontrol', 'Ġpanel']"                                                                                                                               , "[774, 269, 1699, 1160]"
close the settings                                                          , close         , "['close', 'Ġthe', 'Ġsettings']"                                                                                                                                       , "[389, 269, 904]"
shut the settings                                                           , close         , "['shut', 'Ġthe', 'Ġsettings']"                                                                                                                                        , "[598, 269, 904]"
close the preferences                                                       , close         , "['close', 'Ġthe', 'Ġpreferences']"                                                                                                                                    , "[389, 269, 2524]"
exit the preferences                                                        , close         , "['exit', 'Ġthe', 'Ġpreferences']"                                                                                                                                     , "[774, 269, 2524]"
close the configuration                                                     , close         , "['close', 'Ġthe', 'Ġconfiguration']"                                                                                                                                  , "[389, 269, 2391]"
shut the configuration                                                      , close         , "['shut', 'Ġthe', 'Ġconfiguration']"                                                                                                                                   , "[598, 269, 2391]"
close the setup                                                             , close         , "['close', 'Ġthe', 'Ġsetup']"                                                                                                                                          , "[389, 269, 2212]"
exit the setup                                                              , close         , "['exit', 'Ġthe', 'Ġsetup']"                                                                                                                                           , "[774, 269, 2212]"
close the installer                                                         , close         , "['close', 'Ġthe', 'Ġinstaller']"                                                                                                                                      , "[389, 269, 3524]"
shut the installer                                                          , close         , "['shut', 'Ġthe', 'Ġinstaller']"                                                                                                                                       , "[598, 269, 3524]"
close the updater                                                           , close         , "['close', 'Ġthe', 'Ġupdater']"                                                                                                                                        , "[389, 269, 3023]"
exit the updater                                                            , close         , "['exit', 'Ġthe', 'Ġupdater']"                                                                                                                                         , "[774, 269, 3023]"
close the download manager                                                  , close         , "['close', 'Ġthe', 'Ġdownload', 'Ġmanager']"                                                                                                                           , "[389, 269, 1695, 1420]"
shut the download manager                                                   , close         , "['shut', 'Ġthe', 'Ġdownload', 'Ġmanager']"                                                                                                                            , "[598, 269, 1695, 1420]"
close the task manager                                                      , close         , "['close', 'Ġthe', 'Ġtask', 'Ġmanager']"                                                                                                                               , "[389, 269, 1225, 1420]"
exit the task manager                                                       , close         , "['exit', 'Ġthe', 'Ġtask', 'Ġmanager']"                                                                                                                                , "[774, 269, 1225, 1420]"
close the resource monitor                                                  , close         , "['close', 'Ġthe', 'Ġresource', 'Ġmonitor']"                                                                                                                           , "[389, 269, 3565, 1339]"
shut the resource monitor                                                   , close         , "['shut', 'Ġthe', 'Ġresource', 'Ġmonitor']"                                                                                                                            , "[598, 269, 3565, 1339]"
close the performance monitor                                               , close         , "['close', 'Ġthe', 'Ġperformance', 'Ġmonitor']"                                                                                                                        , "[389, 269, 1709, 1339]"
exit the performance monitor                                                , close         , "['exit', 'Ġthe', 'Ġperformance', 'Ġmonitor']"                                                                                                                         , "[774, 269, 1709, 1339]"
close the event viewer                                                      , close         , "['close', 'Ġthe', 'Ġevent', 'Ġviewer']"                                                                                                                               , "[389, 269, 1421, 2545]"
shut the event viewer                                                       , close         , "['shut', 'Ġthe', 'Ġevent', 'Ġviewer']"                                                                                                                                , "[598, 269, 1421, 2545]"
close the device manager                                                    , close         , "['close', 'Ġthe', 'Ġdevice', 'Ġmanager']"                                                                                                                             , "[389, 269, 1101, 1420]"
exit the device manager                                                     , close         , "['exit', 'Ġthe', 'Ġdevice', 'Ġmanager']"                                                                                                                              , "[774, 269, 1101, 1420]"
close the disk management                                                   , close         , "['close', 'Ġthe', 'Ġdisk', 'Ġmanagement']"                                                                                                                            , "[389, 269, 1629, 2086]"
shut the disk management                                                    , close         , "['shut', 'Ġthe', 'Ġdisk', 'Ġmanagement']"                                                                                                                             , "[598, 269, 1629, 2086]"
close the system information                                                , close         , "['close', 'Ġthe', 'Ġsystem', 'Ġinformation']"                                                                                                                         , "[389, 269, 410, 3796]"
exit the system information                                                 , close         , "['exit', 'Ġthe', 'Ġsystem', 'Ġinformation']"                                                                                                                          , "[774, 269, 410, 3796]"
close the command prompt                                                    , close         , "['close', 'Ġthe', 'Ġcommand', 'Ġprompt']"                                                                                                                             , "[389, 269, 2112, 1692]"
shut the command prompt                                                     , close         , "['shut', 'Ġthe', 'Ġcommand', 'Ġprompt']"                                                                                                                              , "[598, 269, 2112, 1692]"
close the terminal                                                          , close         , "['close', 'Ġthe', 'Ġterminal']"                                                                                                                                       , "[389, 269, 2106]"
exit the terminal                                                           , close         , "['exit', 'Ġthe', 'Ġterminal']"                                                                                                                                        , "[774, 269, 2106]"
close the powershell                                                        , close         , "['close', 'Ġthe', 'Ġpowershell']"                                                                                                                                     , "[389, 269, 4878]"
shut the powershell                                                         , close         , "['shut', 'Ġthe', 'Ġpowershell']"                                                                                                                                      , "[598, 269, 4878]"
close the registry editor                                                   , close         , "['close', 'Ġthe', 'Ġregistry', 'Ġeditor']"                                                                                                                            , "[389, 269, 4146, 2800]"
exit the registry editor                                                    , close         , "['exit', 'Ġthe', 'Ġregistry', 'Ġeditor']"                                                                                                                             , "[774, 269, 4146, 2800]"
close the task scheduler                                                    , close         , "['close', 'Ġthe', 'Ġtask', 'Ġscheduler']"                                                                                                                             , "[389, 269, 1225, 4207]"
shut the task scheduler                                                     , close         , "['shut', 'Ġthe', 'Ġtask', 'Ġscheduler']"                                                                                                                              , "[598, 269, 1225, 4207]"
close the services                                                          , close         , "['close', 'Ġthe', 'Ġservices']"                                                                                                                                       , "[389, 269, 1858]"
exit the services                                                           , close         , "['exit', 'Ġthe', 'Ġservices']"                                                                                                                                        , "[774, 269, 1858]"
close the msconfig                                                          , close         , "['close', 'Ġthe', 'Ġmsconfig']"                                                                                                                                       , "[389, 269, 5336]"
shut the msconfig                                                           , close         , "['shut', 'Ġthe', 'Ġmsconfig']"                                                                                                                                        , "[598, 269, 5336]"
close the control panel window                                              , close         , "['close', 'Ġthe', 'Ġcontrol', 'Ġpanel', 'Ġwindow']"                                                                                                                   , "[389, 269, 1699, 1160, 577]"
